,位置,地铁,小区,房屋户型,房屋朝向,月租金,楼层,面积
1942,嘉定 嘉定新城,暂无数据,保利湖畔阳光苑,2室2厅2卫  整租,南 北,3300,低楼层 (共18层),116.49平米
1943,浦东 康桥,暂无数据,康桥半岛(秀沿路1177弄),4室2厅3卫,南,16000,低楼层 (共2层),252平米
1944,浦东 惠南,暂无数据,绿地峰汇,1室1厅1卫  整租,南,4300,低楼层 (共18层),98.53平米
1945,松江 松江新城,暂无数据,华亭首府,3室2厅2卫,南 北,4500,高楼层 (共18层),139平米
1946,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
1947,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
1948,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
1949,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
1950,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
1951,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
1952,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
1953,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
1954,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
1955,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
1956,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
1957,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
1958,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
1959,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
1960,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
1961,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
1962,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
1963,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
1964,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
1965,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
1966,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
1967,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
1968,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
1969,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
1970,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
1971,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
1972,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
1973,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
1974,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
1975,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
1976,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
1977,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
1978,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
1979,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
1980,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
1981,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
1982,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
1983,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
1984,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
1985,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
1986,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
1987,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
1988,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
1989,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
1990,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
1991,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
1992,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
1993,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
1994,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
1995,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
1996,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
1997,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
1998,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
1999,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
2000,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
2001,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
2002,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
2003,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
2004,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
2005,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
2006,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
2007,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
2008,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
2009,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
2010,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
2011,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
2012,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
2013,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
2014,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
2015,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
2016,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
2017,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
2018,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
2019,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
2020,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
2021,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
2022,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
2023,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
2024,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
2025,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
2026,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
2027,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
2028,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
2029,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
2030,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
2031,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
2032,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
2033,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
2034,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
2035,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
2036,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
2037,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
2038,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
2039,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
2040,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
2041,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
2042,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
2043,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
2044,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
2045,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
2046,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
2047,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
2048,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
2049,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
2050,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
2051,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
2052,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
2053,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
2054,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
2055,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
2056,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
2057,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
2058,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
2059,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
2060,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
2061,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
2062,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
2063,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
2064,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
2065,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
2066,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
2067,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
2068,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
2069,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
2070,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
2071,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
2072,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
2073,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
2074,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
2075,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
2076,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
2077,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
2078,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
2079,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
2080,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
2081,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
2082,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
2083,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
2084,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
2085,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
2086,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
2087,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
2088,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
2089,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
2090,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
2091,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
2092,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
2093,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
2094,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
2095,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
2096,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
2097,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
2098,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
2099,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
2100,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
2101,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
2102,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
2103,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
2104,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
2105,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
2106,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
2107,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
2108,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
2109,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
2110,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
2111,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
2112,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
2113,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
2114,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
2115,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
2116,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
2117,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
2118,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
2119,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
2120,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
2121,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
2122,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
2123,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
2124,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
2125,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
2126,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
2127,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
2128,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
2129,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
2130,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
2131,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
2132,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
2133,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
2134,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
2135,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
2136,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
2137,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
2138,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
2139,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
2140,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
2141,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
2142,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
2143,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
2144,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
2145,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
2146,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
2147,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
2148,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
2149,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
2150,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
2151,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
2152,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
2153,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
2154,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
2155,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
2156,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
2157,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
2158,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
2159,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
2160,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
2161,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
2162,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
2163,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
2164,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
2165,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
2166,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
2167,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
2168,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
2169,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
2170,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
2171,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
2172,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
2173,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
2174,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
2175,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
2176,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
2177,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
2178,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
